id;name;code;description;active
1;protocolo index Avon;Sopa;Berkshire Queso;true
2;Aplicaciones función;Especialista;mesh Account;false
3;THX;Amarillo envisioneer;Práctico;true
4;SMS Pound exploit;Música bluetooth Corporativo;deposit Configurable ADP;true
5;calculating holística Clonado;24/365 Azul;Artesanal Infraestructura;true
6;payment;payment;Hormigon Bacon;false
7;incentivize Méjico;Pequeño Peso asíncrona;proactive Bebes;true
8;monitor Berkshire;Granada Coordinador synthesizing;Interno Gerente;false
9;cross-media Ergonómico;Negro;Enfocado;true
10;Lempira Borders Asociado;SMTP enterprise;calculate facilitate;true
