id;number;init_date;end_date;value;hours;status_id;contractor_id
1;Groenlandia Amarillo B2B;2021-10-19;2021-10-19;93289;15628;1;1
2;synergistic Gorro Ferrocarril;2021-10-19;2021-10-19;72178;67001;2;2
3;Guapa Agente;2021-10-19;2021-10-19;97772;27271;3;3
4;Pasaje Central lateral;2021-10-19;2021-10-19;95786;80566;4;4
5;Director Mobilidad;2021-10-18;2021-10-19;95466;4563;5;5
6;Tácticas;2021-10-19;2021-10-19;60321;53756;6;6
7;array index Datos;2021-10-19;2021-10-19;35954;88735;7;7
8;Futuro Pantalones;2021-10-19;2021-10-19;69077;26108;8;8
9;neural Russian;2021-10-19;2021-10-19;12365;52636;9;9
10;bus;2021-10-19;2021-10-18;65339;85929;10;10
