id;name;description;icon;url;active
1;AI Teclado granular;Violeta Factores;SAS;http://luis miguel.com.es;true
2;invoice desafío Calidad;networks;Guapa;https://maría josé.es;true
3;motivadora Corporativo Zapatos;harness;Morado;https://ernesto.info;true
4;Agente;Aragón;wireless Zambia;https://felipe.com;true
5;SAS de;circuit navigate Negro;Fácil Aragón;https://homero.org;false
6;Madagascar Algodón Escalinata;Metal cross-platform;Baleares;https://marcela.es;true
7;definición up;Acero Blanco;División;http://alfredo.es;false
8;Profundo Negro;capacitor calculate Checking;Bond;http://josefina.com.es;true
9;New;Loan Senior;Account Hormigon;http://adriana.org;true
10;Inteligente Mancha Barrio;Centrado;Cantabria Paradigma ubiquitous;http://elvira.es;true
