id;name;start_time;final_hour;status_id
1;next-generation Card Acero;2021-10-19T20:23:18;2021-10-19T09:34:18;1
2;generate bandwidth magnetic;2021-10-19T09:34:10;2021-10-19T06:59:32;2
3;Joyería sensor Proactivo;2021-10-19T22:18:43;2021-10-19T00:04:27;3
4;Práctico Madera;2021-10-19T19:31:44;2021-10-19T08:23:01;4
5;architect Guapa;2021-10-19T05:20:24;2021-10-19T03:04:43;5
6;Gabón Configurable;2021-10-19T18:28:25;2021-10-19T20:43:01;6
7;Informática Gris program;2021-10-19T13:32:12;2021-10-19T01:01:32;7
8;iterate Account Granito;2021-10-19T08:57:05;2021-10-19T01:30:22;8
9;SAS al Rústico;2021-10-19T12:44:36;2021-10-19T11:52:34;9
10;Bahraini;2021-10-19T22:40:14;2021-10-19T00:42:42;10
