id;name;code;description;catalog_code;active
1;overriding data-warehouse intuitive;Berkshire estatica Guapo;program;architect Tunez;true
2;iniciativa Arquitecto La;Kiribati maximize matrices;auxiliary Zapatos;de;true
3;Guantes Borders invoice;Card;Solomon clicks-and-mortar Oficial;La;false
4;Berkshire robust Deportes;supply-chains Monitorizado;HTTP;Ronda Optimización;true
5;primary;escalable extend;Papelería;generación;false
6;Navarra Pakistan seize;copy Cambridgeshire;holistic;Home Adaptativo;true
7;Relacciones enable port;Especialista;proactive Granito Extremadura;Rojo feed;true
8;Account;Universal;Card Amarillo calculate;quantify program Mesa;false
9;Bricolaje initiatives Buckinghamshire;red Loan;Ingeniero Nacional;Account payment port;false
10;Moldovan withdrawal deposit;Granito;compelling Argentina panel;deliverables servidor Distrito;false
