id;init_date;end_date;plate;parking_time;taxable_total;taxes;total;observation;sequential;status_id;tariff_vehicle_id;institution_id
1;2021-10-19T09:43:00;2021-10-20T02:24:05;Ensalada;2021-10-20T02:33:59;21568;86717;13530;online crítica withdrawal;Producto;1;1;1
2;2021-10-19T16:46:11;2021-10-19T20:34:32;Senda Investment;2021-10-19T03:35:26;71857;19698;46214;Uganda Extramuros Borders;Exclusivo;2;2;2
3;2021-10-19T12:16:17;2021-10-19T09:48:08;Acero;2021-10-19T20:25:11;35640;9426;54326;Joyería;neural;3;3;3
4;2021-10-19T03:55:10;2021-10-19T18:22:14;Gorro Navarra;2021-10-20T00:30:25;30485;50319;28871;haptic Total;Creativo 24/7 Granito;4;4;4
5;2021-10-20T00:34:53;2021-10-19T11:44:50;Filipinas Intranet;2021-10-19T15:53:11;78745;77653;99535;proactive Diseñador;Lanka;5;5;5
6;2021-10-19T04:19:31;2021-10-19T08:53:59;1080p Vasco card;2021-10-19T18:13:34;37051;25605;37487;Proactivo infomediaries;Implementación compress;6;6;6
7;2021-10-19T09:11:40;2021-10-19T21:10:32;transform de web;2021-10-19T20:15:01;9574;85845;75829;Account Pequeño enhance;ROI Joyería Adelante;7;7;7
8;2021-10-19T14:52:23;2021-10-19T17:25:19;cross-platform Asturias interactiva;2021-10-19T14:48:01;40346;26126;27154;XML Account;port;8;8;8
9;2021-10-19T21:09:59;2021-10-19T19:52:14;web-readiness;2021-10-19T19:51:15;33689;51712;89861;Bielorusia Groenlandia;Gold networks;9;9;9
10;2021-10-19T13:04:57;2021-10-19T16:24:20;protocolo Funcionario paralelismo;2021-10-19T17:50:38;58259;26136;90027;asimétrica calculate convergence;uniforme transmitting;10;10;10
