id;name;code;clase
1;Blanco Franc;USB;transmit
2;Dollar;Atún compress integrated;program
3;XSS integrate;Cine capacitor;Sopa technologies
4;Distrito Negro Guadalupe;transparent Bedfordshire compressing;artificial
5;generación Ladrillo copy;Creativo reintermediate;Comunidad envisioneer Baleares
6;Fantástico Humano Deportes;Hecho Humano Extremadura;niches
7;Diverso;Valenciana Guinea;Jordanian
8;Dominicana;Mesa indexing users;Algodón Mejorado
9;Reactivo deposit;Nepal Rampa;Balboa Home Castilla-La
10;protocol;CSS;program synergize León
